,city,Year,date_start,month,maxt,mint,rain,soil,cases,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9
31,delhi,2012,30-07-2012,7,36.29404831,27.5639286,3.523333311,47.47850418,4,27.5639286,28.41674423,24.9432106,20.55291367,13.89055634,8.932437897,6.871914387,7.706675053,14.45142937,18.54470634,3.523333311,0.009677419,0.312903225,0.600000024,0.467741936,0,0.180645168,0.035483871,0,0,36.29404831,41.77784348,41.09652328,36.04097366,30.66801262,23.81861496,19.40680885,24.66457558,30.9201088,34.69514847,47.47850418,32.54781723,20.59944916,24.22035599,15.98955917,22.91506958,43.77926636,41.18297577,42.46109772,44.20064926
32,delhi,2012,30-08-2012,8,33.02060318,25.64544106,7.354838848,65.69992828,4,25.64544106,27.5639286,28.41674423,24.9432106,20.55291367,13.89055634,8.932437897,6.871914387,7.706675053,14.45142937,7.354838848,3.523333311,0.009677419,0.312903225,0.600000024,0.467741936,0,0.180645168,0.035483871,0,33.02060318,36.29404831,41.77784348,41.09652328,36.04097366,30.66801262,23.81861496,19.40680885,24.66457558,30.9201088,65.69992828,47.47850418,32.54781723,20.59944916,24.22035599,15.98955917,22.91506958,43.77926636,41.18297577,42.46109772
33,delhi,2012,30-09-2012,9,33.03609467,24.13245773,2.736666679,60.12087631,55,24.13245773,25.64544106,27.5639286,28.41674423,24.9432106,20.55291367,13.89055634,8.932437897,6.871914387,7.706675053,2.736666679,7.354838848,3.523333311,0.009677419,0.312903225,0.600000024,0.467741936,0,0.180645168,0.035483871,33.03609467,33.02060318,36.29404831,41.77784348,41.09652328,36.04097366,30.66801262,23.81861496,19.40680885,24.66457558,60.12087631,65.69992828,47.47850418,32.54781723,20.59944916,24.22035599,15.98955917,22.91506958,43.77926636,41.18297577
34,delhi,2012,30-10-2012,10,32.95215225,17.99718475,0.048387095,45.76699448,951,17.99718475,24.13245773,25.64544106,27.5639286,28.41674423,24.9432106,20.55291367,13.89055634,8.932437897,6.871914387,0.048387095,2.736666679,7.354838848,3.523333311,0.009677419,0.312903225,0.600000024,0.467741936,0,0.180645168,32.95215225,33.03609467,33.02060318,36.29404831,41.77784348,41.09652328,36.04097366,30.66801262,23.81861496,19.40680885,45.76699448,60.12087631,65.69992828,47.47850418,32.54781723,20.59944916,24.22035599,15.98955917,22.91506958,43.77926636
35,delhi,2012,30-11-2012,11,28.05703545,11.9880209,0.056666669,45.15338516,1005,11.9880209,17.99718475,24.13245773,25.64544106,27.5639286,28.41674423,24.9432106,20.55291367,13.89055634,8.932437897,0.056666669,0.048387095,2.736666679,7.354838848,3.523333311,0.009677419,0.312903225,0.600000024,0.467741936,0,28.05703545,32.95215225,33.03609467,33.02060318,36.29404831,41.77784348,41.09652328,36.04097366,30.66801262,23.81861496,45.15338516,45.76699448,60.12087631,65.69992828,47.47850418,32.54781723,20.59944916,24.22035599,15.98955917,22.91506958
36,delhi,2012,30-12-2012,12,22.01232338,7.970196247,0.380645156,49.92736816,69,7.970196247,11.9880209,17.99718475,24.13245773,25.64544106,27.5639286,28.41674423,24.9432106,20.55291367,13.89055634,0.380645156,0.056666669,0.048387095,2.736666679,7.354838848,3.523333311,0.009677419,0.312903225,0.600000024,0.467741936,22.01232338,28.05703545,32.95215225,33.03609467,33.02060318,36.29404831,41.77784348,41.09652328,36.04097366,30.66801262,49.92736816,45.15338516,45.76699448,60.12087631,65.69992828,47.47850418,32.54781723,20.59944916,24.22035599,15.98955917
37,delhi,2013,30-01-2013,1,19.35402107,5.839920044,1.338709712,50.16759109,2,5.839920044,7.970196247,11.9880209,17.99718475,24.13245773,25.64544106,27.5639286,28.41674423,24.9432106,20.55291367,1.338709712,0.380645156,0.056666669,0.048387095,2.736666679,7.354838848,3.523333311,0.009677419,0.312903225,0.600000024,19.35402107,22.01232338,28.05703545,32.95215225,33.03609467,33.02060318,36.29404831,41.77784348,41.09652328,36.04097366,50.16759109,49.92736816,45.15338516,45.76699448,60.12087631,65.69992828,47.47850418,32.54781723,20.59944916,24.22035599
38,delhi,2013,28-02-2013,2,22.9671154,10.53288841,3.889285803,56.54473495,2,10.53288841,5.839920044,7.970196247,11.9880209,17.99718475,24.13245773,25.64544106,27.5639286,28.41674423,24.9432106,3.889285803,1.338709712,0.380645156,0.056666669,0.048387095,2.736666679,7.354838848,3.523333311,0.009677419,0.312903225,22.9671154,19.35402107,22.01232338,28.05703545,32.95215225,33.03609467,33.02060318,36.29404831,41.77784348,41.09652328,56.54473495,50.16759109,49.92736816,45.15338516,45.76699448,60.12087631,65.69992828,47.47850418,32.54781723,20.59944916
39,delhi,2013,30-03-2013,3,30.5514946,14.8303442,0.222580642,25.93955421,0,14.8303442,10.53288841,5.839920044,7.970196247,11.9880209,17.99718475,24.13245773,25.64544106,27.5639286,28.41674423,0.222580642,3.889285803,1.338709712,0.380645156,0.056666669,0.048387095,2.736666679,7.354838848,3.523333311,0.009677419,30.5514946,22.9671154,19.35402107,22.01232338,28.05703545,32.95215225,33.03609467,33.02060318,36.29404831,41.77784348,25.93955421,56.54473495,50.16759109,49.92736816,45.15338516,45.76699448,60.12087631,65.69992828,47.47850418,32.54781723
40,delhi,2013,30-04-2013,4,36.40507126,20.22424126,0.186666667,19.76891899,3,20.22424126,14.8303442,10.53288841,5.839920044,7.970196247,11.9880209,17.99718475,24.13245773,25.64544106,27.5639286,0.186666667,0.222580642,3.889285803,1.338709712,0.380645156,0.056666669,0.048387095,2.736666679,7.354838848,3.523333311,36.40507126,30.5514946,22.9671154,19.35402107,22.01232338,28.05703545,32.95215225,33.03609467,33.02060318,36.29404831,19.76891899,25.93955421,56.54473495,50.16759109,49.92736816,45.15338516,45.76699448,60.12087631,65.69992828,47.47850418
41,delhi,2013,30-05-2013,5,41.27971649,25.1104908,0.048387095,24.6300106,0,25.1104908,20.22424126,14.8303442,10.53288841,5.839920044,7.970196247,11.9880209,17.99718475,24.13245773,25.64544106,0.048387095,0.186666667,0.222580642,3.889285803,1.338709712,0.380645156,0.056666669,0.048387095,2.736666679,7.354838848,41.27971649,36.40507126,30.5514946,22.9671154,19.35402107,22.01232338,28.05703545,32.95215225,33.03609467,33.02060318,24.6300106,19.76891899,25.93955421,56.54473495,50.16759109,49.92736816,45.15338516,45.76699448,60.12087631,65.69992828
